web-scraper-order,web-scraper-start-url,Reviews,pagination,pagination-href
"1530537827-1799","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","When not met the sales target and handling call drops
managing subordinates
Good management
Friendly co workers
To report the main office most of the time
Monthly meeting","11","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=200"
"1530537797-1567","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","Birla sun life is a good company,working their as trainee learn many things about mutual funds,there working legal environment.
we were a team of 6 people management students who conducted presentations in big institutes to make people aware about the mutual funds","21","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=400"
"1530537824-1791","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","Good Life insurance co. They give Us Data of existing customer.
Rule is gives clients service and approach to sales...fun work place with supportive management not.Good work culture","12","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=220"
"1530537817-1731","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","Every day new responsibility, new learning which help me to grow in terms of knowledge. learnt a lot like Excel, Access, how to handle responsibilities, how to vocal in terms of presenting our suggestions of any innovations. Co-workers along with our seniors are very supportive. They always ready to support, they always motivate to participate in games as well as in other activities. Hardest part of Job is to say ""No"" to anyone if i am already under burden. But some times considering priority of task I have to complete that task on the same time when any task assigned on priority level with many difficulties that be most enjoyable part of job to complete that on time by handling pressure and using our best skills.","16","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=300"
"1530537787-1480","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","Nice place of work. I have learnt new techniques of customer service. Good management. Friendly workplace. The hard part is bulky job. The enjoyable part of job is making contacts with new people in the business.","5","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=80"
"1530537840-1860","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","Having a keen desire to work in an environment that offers an impartial opportunity for continuous learning and professional development and to obtain an ambitious position to an organization where my potential and capacity can be practiced in the best mode.","7","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=120"
"1530537794-1555","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","working culture is good .4 Parmotion this compny a lot of won certificate .","17","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=320"
"1530537797-1576","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","good company
management is good
hr is supportive nature
typical day is month last day
overall is good place for work","21","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=400"
"1530537797-1573","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","Insurance company, High Monthly Target, Very hard to achieve Target and high pressure from top management","21","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=400"
"1530537797-1566","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","Once office was full of client from morning to evening. But, that i learnt a lot about team work and working in pressure.
Both peers and boss helped each other to provide quality service to our valuable clients.
The hardest part of the job was to finish our work in time and to satiate each and every customer but we managed to do that very well.
Most enjoyable part of my job was making presentations and attending customers.","21","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=400"
"1530537832-1839","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","Company was good.
My Branch Manager and Manager was very much supportive.
I was achieved Club Membership (Gold Club Member) twice.
But it was only commisssion based","8","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=140"
"1530537797-1563","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","I was worked at this company as a sales manager they give me chance to serve the financial planning to other people it is very good company giving us good facilities & to learn new things.","21","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=400"
"1530537797-1568","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","in bhopal when ram mandir issue is on.
every think is possible if u decided t do it
great.
awesome and supporting
meet KPI for every day
RNR and team meeing","21","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=400"
"1530537792-1532","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","The company was really good. I was happy with the management. But there was no job security but salary benefits were there. the co workers were really supportive. The timing was good.","13","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=240"
"1530537827-1809","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","It is very good company for fun work place with help of management and colleague. it is very big company and there are many field like cement,rubber, finance etc,","11","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=200"
"1530537846-1879","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","First Job of my life. Learned a lot.
How to answer call on phone, attending customers personally, email communication. Got exposure to grow in person professionally","6","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=100"
"1530537827-1798","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","ABG is an big group
enjoyed working in BSLI
every day new ideas , statics, good boss, colleges,
its limited to few insurance products.
learnt lot of sales mantra's","11","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=200"
"1530537875-1952","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews","Very good work culture and environment. However some of the policies designed do not encourage rural participation. 
Salary at lower levels are low and at higher levels are very good","2","https://www.indeed.co.in/cmp/Birla-Sun-Life/reviews?start=20"
