web-scraper-order,web-scraper-start-url,Reviews,Pagination,Pagination-href
"1530253942-886","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL","Job is extremely stressful and fast paced. Work/life balance isn't so great. Co-workers are simply the best and helpful.","12","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL&start=220"
"1530253971-906","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL","Learned Project management skills
Ability to co-ordinate with multiple changing requirements in the project
Initiated project communication and resolved conflicts and compatibility issues between Client systems and Development capabilities","11","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL&start=200"
"1530254092-969","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL","Big company with usual corporate culture, hence all that comes with it. I loved the group of people I worked with. I worked with several clients, the work was interesting, a lot of new development, I liked the challenge and fun working with the teams.","7","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL&start=120"
"1530253763-779","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL","I really enjoyed working there during the duration of my time. I was able to advance greatly in my accuracy of my data entry skill. My coworkers were fun and easy to get along with. The only thing I didn't like was at lunch there was only one phone to use that we all had to share during that hour.","20","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL&start=380"
"1530253742-673","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL","I enjoyed working for Equifax, Everyone was very welcoming and very professional Job, I learned how to talk to customers professionally over the phone, Took a educational class before job.","5","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL&start=80"
"1530253752-726","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL","Losing significant personal IP to work force reductions and replacing with lower expense, less experienced personnel","17","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL&start=320"
"1530253773-820","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL","A fair place to work and the people were friendly. All computer and phone based work. communication with customers and third parties were a must.","18","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL&start=340"
"1530253739-642","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL","I enjoyed working for Equifax. I had a great team I worked for. It makes it easier to come to work when you get along with the people you work with.  Like any job you have your ups and down/ good and bad days but overall it was a great job. Just wish they didn't close our office.","",""
"1530253749-709","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL","Equifax is fun place to work. Days can go by fast and they provide ""fun"" days where they provide snacks and other things. the only down fall would be getting hired on. I'm working there through a temp. agency right now, and would love nothing more than to be hired on. I don't know if that will happen or not which is more than nerve grinding. I believe that once I get hired on, I will have a lot of opportunities to advance in the company.","13","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL&start=240"
"1530253870-841","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL","Empresa com uma cultura exemplar, excelente de se trabalhar, produtos de ponta e focada no treinamento dos seus profissionais.","15","https://www.indeed.co.in/cmp/Equifax/reviews?fcountry=ALL&start=280"
