web-scraper-order,web-scraper-start-url,Reviews,Pagination,Pagination-href
"1530277902-102","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","I would definitely not recommend this place for employees it used to be a fun place to work but then everything is so micromanaged every thing is knitpicked","13","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=240"
"1530277934-152","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","The job itself was decent but management needs to be better. I liked most of my coworkers but it felt like a big high school. Din't pay that well at all. Too far to drive.","21","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=400"
"1530277939-191","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","Manage call floor operations of my team of 13 employees and area of 40 employees.  Just assigned to new department that does not have an official training program in place.  Peers and colleagues very supportive and employees have a can do attitude.  

The most difficult part of the job is learning the area without set operation procedures. 

the best part of the job is working with the people and assisting them in obtaining both personal and business goals.","29","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=560"
"1530277900-75","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","learned how to do some of the billing for patient medication. working at the this location was okay. it had its perks and it also had downfalls. management was ok","9","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=160"
"1530277934-153","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","At express script if you get in the  right department things will be good. You do have some area that are not good to work for. I myself go in and do my job to the best of my ability.","21","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=400"
"1530277934-138","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","Most the answers can be found in their programs and no second guessing. The company provides great support and resources and continually educates all their employees.","21","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=400"
"1530278009-217","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","they expect more and more out of you everyday but this company pays less than even a bank teller makes. Before Express Scripts bought Accredo the wages were fair. But now they are below average.","33","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=640"
"1530277892-39","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","Duties include triage of phone calls for PAP/pharmacy, completion of all data entry including use of Microsoft Excel to complete registration rosters.","",""
"1530277902-113","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","typical home infusion company , flexible schedule and average pay. must be ok outside the hospital environment as well be able to adapt to different home situations.","13","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=240"
"1530278009-219","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","Express Scripts is a good starting Pharmacy Job.  Good job to evaluate whether or not you want to be a Pharmacy Tech.   Consistent management and administrative practices.  Due to the process for system sign on, it was common practice for late techs to just clock in on someone else's machine so they were not deemed late while their own machine booted up.    Management often appeared to have nothing to do since they walked around and talked a lot.   Support documents were not kept current which caused a large problem for techs who were blamed for incorrectly entered scripts when the problem was really the fault of the management and support staff.","33","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=640"
"1530278009-208","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","When you speak, they listen and act. It took a bit , but eventually things got better and they are awesome. My manager is awsome. I just wish we can meet the ceo one day.","33","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=640"
"1530277902-108","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","Worked here for a year in my position on 2nd shift. Great place to work at for a college kid going to classes in the morning. The warehouse was an easy-going enviorment to work in and everyone really got along.","13","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=240"
"1530277937-158","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL","Express Scripts was a good place to work. Great pharmacy. Always on top of orders and good with customers. They are good to their employees and make sure they know they are appreciated.","25","https://www.indeed.co.in/cmp/Express-Scripts/reviews?fcountry=ALL&start=480"
