web-scraper-order,web-scraper-start-url,Reviews,pagination,pagination-href
"1530530059-518","https://www.indeed.co.in/cmp/Facebook/reviews","At Facebook we used to work and help clients run their ads on Facebook. It's was a pure inbound customer service were people used to call us with their company information and we use to guide them how to create ads and how to increase performance our their advertisement.","",""
"1530530059-529","https://www.indeed.co.in/cmp/Facebook/reviews","Had to look into profiles that are reported as Drug use, Impersonation, Nudity and Pornography. Learnt to identify if the reported profiles really need to be taken action upon. Management was not cooperative when training was needed. Friendly co-workers. To look into Nudity and pornography profiles was the hardest part.","",""
"1530530059-524","https://www.indeed.co.in/cmp/Facebook/reviews","Facebook india pvt ltd., is an amazing work place, coming to my work at facebook i review profiles reported by facebook users and check if they violate facebook policies.","",""
"1530530059-521","https://www.indeed.co.in/cmp/Facebook/reviews","What I can say about Facebook is, its simply awesome to have an work experience of more than an year to work in the house of Hyderabad. 
Management is great to talk about. Easily approachable and friendly.
The facility team of the Hyderabad house is worth appreciating for its punctuality and efficacy.","",""
"1530530059-520","https://www.indeed.co.in/cmp/Facebook/reviews","Very great ergonomics 
Work was really challenging and was a very learning journey through out.
Very flexible work timings and week offs","",""
"1530530059-513","https://www.indeed.co.in/cmp/Facebook/reviews","Facebook provides  amazing work culture  I have work for two different projects in Facebook and got to learn a lot in it. It provides the  with all the facilities to make them comfortable.","",""
"1530530059-515","https://www.indeed.co.in/cmp/Facebook/reviews","It has a welcoming and warm environment which makes one feel at easy.

Has great opportunity to learn and grow.

During stress hours it's helps us stay clam and get the job done with ease and helps us relax.","",""
"1530530059-527","https://www.indeed.co.in/cmp/Facebook/reviews","in real time experience i get chance to work with different people from differnt backgrounds helps me in learning new cultures, learn tips how to handle tipical people","",""
"1530530059-519","https://www.indeed.co.in/cmp/Facebook/reviews","As cognizant is my principal employer we do not have the privilege of working at client location. Not much of a fun type.bit robotic in nature.","",""
"1530530059-523","https://www.indeed.co.in/cmp/Facebook/reviews","Working at Facebook was my first experience to get exposure to the corporate sector. 

I could able to find co-operative management along with supportive co-workers. While handling my wide spread tasks of handling policies and procedures of Asia Pacific region, I found an opportunity to interact with the co-workers and managers of different countries. My managers used to observe and also used to advise me the methods to overcome my weakness. The difficulty of the job is to manage the interaction irrespective of the time-zone differences which used to make me work even at home (sometimes). But the good part was the synchronization used to be from the ends.

I used to enjoy the team bond which used to grow day by day with team lunch and brainstorm sessions that we used to share to come up with various solutions of various concerns.

Working at Facebook was good a good start.","",""
"1530530061-533","https://www.indeed.co.in/cmp/Facebook/reviews","Used Marketing’s skills and developed virtual store worldwide using e-marketing.  Currently spread branches in various countries like  - U.K, USA, Oman, Dubai, Australia And Malaysia. Exporter & indenting agent of a wide variety of items including Food  (Rasna,Madam Agro,Duke biscuits , Lichika,London Bakers,Charlie Chikki","2","https://www.indeed.co.in/cmp/Facebook/reviews?start=20"
"1530530061-530","https://www.indeed.co.in/cmp/Facebook/reviews","amazing place. there wasnt a day when we didnt enjoy plus worked. 
our entire crew was funny and dedicated. punctuality and hardwork was the key for our successful and good quality life.","2","https://www.indeed.co.in/cmp/Facebook/reviews?start=20"
"1530530059-510","https://www.indeed.co.in/cmp/Facebook/reviews","amazing place. there wasnt a day when we didnt enjoy plus worked. 
our entire crew was funny and dedicated. punctuality and hardwork was the key for our successful and good quality life.","",""
"1530530059-525","https://www.indeed.co.in/cmp/Facebook/reviews","I learnt a lot, and was always given opportunities to grow. I cherish my time working at Facebook. 

The management is generally supportive of projects and other work, and is very supportive in terms of helping you achieve success in your own role. 

Advancement is an issue since you're hired for your level, and they look to hire people at different levels, so if there is an opening above your position, expect an outsider to fill it.","",""
"1530530061-531","https://www.indeed.co.in/cmp/Facebook/reviews","Each day at work is awesome. I enjoy every moment at work. It is a great to work in. The management, the colleagues, the work culture, everything is just awesome.","2","https://www.indeed.co.in/cmp/Facebook/reviews?start=20"
"1530530059-511","https://www.indeed.co.in/cmp/Facebook/reviews","Amazing place to work. Brilliant food and travel and the company takes care of you. 

Salary is not that great but good enough. If you do not get shares dont join.","",""
"1530530059-516","https://www.indeed.co.in/cmp/Facebook/reviews","Facebook needs no introduction. It has the smartest people on the planet, one of the most ambitious goal and inspiring leadership. Truly a must experience in the life of an engineer.","",""
