web-scraper-order,web-scraper-start-url,Reviews,pagination,pagination-href
"1530528269-89","https://www.indeed.co.in/cmp/Flipkart.com/reviews","management skills, decision making in pressure cooker situations, adjusting to the ever changing scenarios of the business.","17","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=320"
"1530528466-471","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Tough conditions to work in, no benefits at all. No motivation from any one. DEAL WITH IT kind of scenario and no job security. Hope this much information is enough.","4","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=60"
"1530528281-158","https://www.indeed.co.in/cmp/Flipkart.com/reviews","overall am happy with work. we are getting lot of benefits in this company.","26","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=500"
"1530528267-75","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Could do away with a couple of leeching resources which do not add any value to the organization.

Absolute thumbs up to the work culture and the management.","13","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=240"
"1530528390-322","https://www.indeed.co.in/cmp/Flipkart.com/reviews","	Managing & leading teams for running successful process operations and experience of developing procedures & service standards for business excellence
	 Extensive experience in setting up and managing operations which require deep understanding of critical business drivers in multiple markets and industries; highly successful in building relationships with upper- level decision makers and business partners
	Handle entire operation at Inbound & Outbound Process (Central & North Kolkata)
	Logistic transport & consignments Handle at Branch
	Handle load receive MIS at Inbound & Outbound (Logistics)
	As a coordinator maintain Quality Process & Customer relations
	Handle Field Executive.
	Preparing MIS and other statements with a view to appraise management of the process.
	Operations and assist in critical decision-making process.","14","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=260"
"1530528483-505","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Work life balance is not that good. We get good exposure to work on multiple technology.Work  life balance is not good there.Delivery time is quit short.","2","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=20"
"1530528264-41","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Wrote End to End platform for Customer Experience Team. Mentored college hires and worked close to the product managers. Taken owner ship of products and shaped them to the customer needs.","9","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=160"
"1530528304-256","https://www.indeed.co.in/cmp/Flipkart.com/reviews","I am working in this company 3 month and in this period i have face many changeling experience like how to behave a customer and how     we behave co-workers.","19","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=360"
"1530528292-209","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Productive and Fun Working Place. Enjoyed working in Flipkart. Wish it was not outsourced to SERCO. Learnt to handle calls, learnt payment ticket, handled esclations mails and calls.","22","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=420"
"1530528292-208","https://www.indeed.co.in/cmp/Flipkart.com/reviews","The work is hectic almost all days with lots of learning involved.  The management is interactive.  The co- Workers are cooperative.  The hardest part of the job is the volume of data which is generally huge for reconciliation.  The most enjoyable part of the job is when you see everyone around you passionate working and motivating to achieve the targets provided.","22","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=420"
"1530528390-335","https://www.indeed.co.in/cmp/Flipkart.com/reviews","People oriented company , Very good culture , Management down to the earth 

Good workplace and amazing work life balance. The learning is very slow as the company have grown to a very big size.","14","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=260"
"1530528269-85","https://www.indeed.co.in/cmp/Flipkart.com/reviews","I have been working at Flipkart for one year. I had very good opportunity to learn as how on some aspects on project management. Also learnt how to manage people & get the work done  .","17","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=320"
"1530528286-169","https://www.indeed.co.in/cmp/Flipkart.com/reviews","1. Flipkart Has been a new experience where in i got an opportunity to know cataloging process and the way E-commerce industry operates.
2. A Typical day at work is to make the agreed throughput are achieved/exceeded by the team with effective quality score.
3. Learnt end to end Cataloging Process, Photo shoot Process and E-commerce ways of working.
4. Good Management
5. Very co-operative and helping co-workers","24","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=460"
"1530528276-122","https://www.indeed.co.in/cmp/Flipkart.com/reviews","A normal days starts at 10am, communication with vendors & BD , sending defective products back to the vendor, Quality Control - of the issues, learned to manage and clear issues in given time, how to manage the break even point or profit , without any loss for the company, co-workers has always been supportive and helping, hardest part of the job? - well i don't believe there is anything hard when you give your 100%, most enjoyable part of the job - is giving your 100% and then rejects are shipped without any loop hole.","25","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=480"
"1530528278-140","https://www.indeed.co.in/cmp/Flipkart.com/reviews","I learn how to do team work.
There are good management.
There are more outing.
This is a good company.","27","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=520"
"1530528264-45","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Good culture at Flikart with challenging roles. Change is the only constant thing. The dynamic people around, ensure to keep you on your toes and work really hard.","9","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=160"
"1530528278-139","https://www.indeed.co.in/cmp/Flipkart.com/reviews","during festive season, pressure remain high.

I have learned , about procurement, logistics, and payments.","27","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=520"
"1530528390-330","https://www.indeed.co.in/cmp/Flipkart.com/reviews","I enjoyed a lot in flipkart. they will provide bonus,petrol allowance & we play carrom after finishing the work, for that all of our crew did there work quickly. if some route has more shipments my crew members came forward to help another person we share our work load equally. i miss my crew","14","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=260"
"1530528290-194","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Working in flipkart in itself is enjoyable. A very young organisation started in the year of 2007 and grown like any thing and today 200 billion dollar FDI is happened in flipkart.

I have seen flipkart growing in front of me from a premature baby company to india's largest e-commerce platform as of today.

while working in flipkart I learned the basics of HR and recruitment and experienced the core recruitment profile. and learned the management skills to lead the team. learned to deal with the business line to deliver the work in time etc. Last but not the least is corporate discipline.

The management of the company is always deserved for the appreciation which brought the company from 10 employees to 5000 employee in the organisation's manpower basket.

flipkart is having its own dynamic young manpower and the coworkers are very cooperative and most of them are from the same young age group.

The hardest part of the job is the hiring of the blue collar work force and retain them in the job for long term.

Every situation is enjoyable and memorable in this organisation. lot many moments are there.","23","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=440"
"1530528267-69","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Learned more as my first job.
Enjoyed working there.
Management was very good  
The hardest part of the job is finding the lost item in inventory.
Big Billion is the most enjoyable thing in Flipkart.","13","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=240"
"1530528413-363","https://www.indeed.co.in/cmp/Flipkart.com/reviews","It was a nice place to work. Employee are given top priority on everything. overall Good facilities and remuneration is also quite good.","11","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=200"
"1530528286-182","https://www.indeed.co.in/cmp/Flipkart.com/reviews","I have 6 month work experience in flipkart.com as an warehouse executive, over there my responsibilities are handling Quality checking team and inventory stock checking team. and Recognized as best performer and Responsible executive","24","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=460"
"1530528432-397","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Nice place and company to be associated as employee. Have worked in company for 2 years and experience is totally awesome.
Management and HR policies are good.","8","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=140"
"1530528466-465","https://www.indeed.co.in/cmp/Flipkart.com/reviews","I love the work atmosphere and management style of company, work life balance is great and compensation and benefits from the company are at its best.","4","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=60"
"1530528262-32","https://www.indeed.co.in/cmp/Flipkart.com/reviews","It's good to be part of flipkart. The management is good and has a good team of professionals. The only negative part is hiring and firing policy of the management. There is no job security to employees even at the top.","5","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=80"
"1530528276-128","https://www.indeed.co.in/cmp/Flipkart.com/reviews","The day at work starts with a cup of coffee and a team meeting where the goals for the day are defined to every member of the team and precise targets were assigned. The management had given us all the freedom to work without monitoring us due to which we achieved our target way before the allotted time with 100% quality, which in turn gave us more time to come up with some creative and innovative ideas to improve the quality of service and help the other teams like the Business Development, Sales and Marketing. As we were working on the live website we had to maintain 100% quality but due to server problems and regular software updates there were incidence where we were forced to stop working and it was very disappointing as we did not want our customers to have any uncertainties. The management was highly cooperative and open for feedback. Due to excess work load there was a lot of stress at work, but our management was so cooperative that they put stress busters all over the bay like Foosball Table, Snooker Table and Ping Pong Table.
They conduct learning and development secession twice a week which was very useful for us to come up with some new ideas, which in turn made us enjoy our work life. The best thing I learnt in this organization was, individual performance improved the team work and hard work of every team was the key to the success of the organization.","25","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=480"
"1530528441-432","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Dock to stock responsibility.Receive all product and put in inventory self wide.Count every product as per invoice and receive correctly.Quaility reject product put other side and ok product receive and put in inventory selfs.","7","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=120"
"1530528259-20","https://www.indeed.co.in/cmp/Flipkart.com/reviews","A typical workday includes filling trackers & checking updates.

Learning is minimal & the managers need managerial skill development. 

Hardly any work-life balance as you have to put in long hours for work & not much comes out of it.

The hardest part would be the location of warehouses, they are located in remote regions with no connectivity.","",""
"1530528267-66","https://www.indeed.co.in/cmp/Flipkart.com/reviews","It was a good experience working in Flipkart.com. I have learned a lot and my growth level reached to the highest point. I had to solve the queries of the customer regarding the orders they used to place online and had to provide the information regarding the delivery date and delivery due.","13","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=240"
"1530528328-287","https://www.indeed.co.in/cmp/Flipkart.com/reviews","good people, good culture, work life balance is good, people do not jump the gun here........... very helpful people..","16","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=300"
"1530528403-355","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Just the weekoffs that are given used to got cancelled many times but that too because we were working in peak period( festive season)","12","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=220"
"1530528259-3","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Better learning curve Increasing level of growth opportunity.
Fun @ workplace Better knowledge transfer
flexible work environment.

Growth opportunity
Good exposure
better learning of in-house tools & techniques
enhancing of technical skills.","",""
"1530528276-136","https://www.indeed.co.in/cmp/Flipkart.com/reviews","The work environment is very friendly but there is no career growth.","25","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=480"
"1530528413-369","https://www.indeed.co.in/cmp/Flipkart.com/reviews","working process is good overall it good for part time job .there is no progress over the hub no new work to learn .There is no difference between assistant or executive","11","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=200"
"1530528281-155","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Productive and fun workplace
Good learning
Good colleagues","26","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=500"
"1530528269-93","https://www.indeed.co.in/cmp/Flipkart.com/reviews","I have every day has the great day because of only my management . when I was came here I learned too much about work  and also my personal life how to gain in my life. Mainly I learned smart work how to do.","17","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=320"
"1530528451-440","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Science deduces that the universe is made up of countless atoms and their satellites but all of these may be just One, corresponding to the one truth that is the nodal thesis of all depp philosophies.","6","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=100"
"1530528273-103","https://www.indeed.co.in/cmp/Flipkart.com/reviews","I am not satisfied with the salary offered by them,

I am looking for a job change

management is good

Here job culture and life balance is superb","21","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=400"
"1530528315-264","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Ensure smooth handling of outbound and inbound operation in the warehouse and the quality operation is maintain.
< Monitoring delivery for EDL/ODA destination.
< Looking after the distribution of M/S Sun Pharmaceuticals Ltd. shipments.
< Developing local vendor to spread dependency.
< Check Paperwork e.g, Way Bill, Invoice,TP etc., Generate and Tranship TP to smooth connection of shipment.","18","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=340"
"1530528273-102","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Nothing like flipkart as a workplace. Good environment, friendly surrounding, approachable management.

The very first E-Commerce with max number of sellers.
5 days of working
Taught team management, Multitasking, ERP Module, and offered few courses like LEAN

Extra curriculum activities were the best part.","21","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=400"
"1530528262-35","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Flipkart is one of the leading e commerce giant in india.it was fun and learning working with flipkart.the company provides a healthy working environment.","5","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=80"
"1530528466-456","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Great company to work but the management is the major issue
Without any information if the company getting loss they will remove the employees saying that cross cutting","4","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=60"
"1530528273-112","https://www.indeed.co.in/cmp/Flipkart.com/reviews","The company by itself is a motivation and it asks for a 120% of everything from an employee. Tremendous amount of learning in both analytical and people management. However, the lack of hands from the upper management into various departments gives it a bang. Absolutely 0% job security & lack of transparency.","21","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=400"
"1530528315-275","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Good to work in this company and management is team is good

Good process oriented company and culture of company is good

good place to work this company","18","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=340"
"1530528273-109","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Good working environment and many things to learn.
Good work culture
less salary for freshers...
Good management
work life and personal life can be manage easily.","21","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=400"
"1530528451-446","https://www.indeed.co.in/cmp/Flipkart.com/reviews","I love giving delivery because I love riding bike and service and by the way I can earn and it will be my part time job and I can be self standard and can easily earn money trough it","6","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=100"
"1530528423-385","https://www.indeed.co.in/cmp/Flipkart.com/reviews","The Multinational company namely as FLIPKART, is very strong at its ground, and the workculture is very congenial and strong inter personal relations..","10","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=180"
"1530528304-248","https://www.indeed.co.in/cmp/Flipkart.com/reviews","It was always exciting to go to work everyday as the company provides really comfortable work culture. 

Company believes each and every one is important to the company.","19","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=360"
"1530528290-197","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Heavy workload, overtime but no benefit for the overtime, salary less compared to work, no food facility","23","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=440"
"1530528290-205","https://www.indeed.co.in/cmp/Flipkart.com/reviews","first time me give the award for best employee for month it was memorable day for me.
challenging part of this job it was  how can convincing for your seniors.
co-workers are more fun able & honest for me.
enjoyable part for my picnic days to me .
good management .
i learned about for the job how can work for customer & supplier satisfied.","23","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=440"
"1530528328-291","https://www.indeed.co.in/cmp/Flipkart.com/reviews","1. Learned lots of work, basically how to handle the situation in pressure.
2.Perfect management, everyone is very cool minded.
3.Working ambiance is very nice and co-workers are also well mannered.
4. We all have outings and on every Saturday there is a fun activity.
5. Very good organisation and really awesome to work in the environment.","16","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=300"
"1530528267-65","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Flipkart is a very good company that we have learned a lot and learned a B to teamwork and the staff is also good with worker that corporate.I learned the RTO process and total display systems.","13","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=240"
"1530528292-218","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Reaching the office, assembling the whole TEAM, conducting the daily Huddle, briefing the team about Modus Operandi.

Learning experience at Flipkart was too rich, as something new would turn up  everyday, Implemented a lot of  operational process which I learned in the classroom such as HEIJUNKA, KAIZEN Inventory Optimisation.

Management was quite helpful

Co-workers were very competitive, from different areas of expertise, there was something to learn everyday from them.

There was no hardest part of job in particular, the whole idea was challenging  which gave new learning experiences everyday.","22","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=420"
"1530528286-174","https://www.indeed.co.in/cmp/Flipkart.com/reviews","I have worked there for 2 and 5 months there. And I have thoroughly enjoyed each and every day that I have worked there. The working environment there is just too awesome.","24","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=460"
"1530528413-376","https://www.indeed.co.in/cmp/Flipkart.com/reviews","I learned many things at work place .,punctuality ,discipline ,good environment between employees ,enjoyable activities totally I had gud experience...","11","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=200"
"1530528473-477","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Best in Working Towards Customer delight 
Best in Employee benefits 
Best in people management.
Best in hosting parties 
Best in Flexible Work schedule","3","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=40"
"1530528328-299","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Gives ample opportunities to learn and demonstrate. Moves fast in changes, decisions. Frequent management changes sometimes leads to direction changes at team-level","16","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=300"
"1530528264-50","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Average culture. Re-org happening every month one or twice, which creates instability within the whole org. Management don't have strong stand on one decision, change of policies, priorities, etc now became a daily activity which is hampering most of the progress both at individual level as well as at org level.","9","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=160"
"1530528286-176","https://www.indeed.co.in/cmp/Flipkart.com/reviews","My overall experience is not that good in Flipkart, as there is no proper recognition there and priority will be given to those who are considered as Manager's Pet.","24","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=460"
"1530528473-474","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Good Culture, Supportive Environment, Good Management, Streamlined process, Customer First, Excellence in what we do. Learning and Development, Employee Centric Environment","3","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=40"
"1530528264-48","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Flipkart India private limited is e-commerce based company. Job life if good,management is good,each and everything is good. flipkart is perfect e-commerce based company.","9","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=160"
"1530528340-305","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Great for go getters , less hierarchy and good career advancement. Management doesnt take good decisions under pressure which affects work balane","15","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=280"
"1530528451-437","https://www.indeed.co.in/cmp/Flipkart.com/reviews","Excellent work life balance here""
""Brilliant Work Culture Challenging coding""
""Good work environment; Nice people; Motivating; Flexible timings; Individual ownership""
""Flexible work hours, good work culture and opportunity to grow""
""Flexibility is awesome example working hours","6","https://www.indeed.co.in/cmp/Flipkart.com/reviews?start=100"
"1530528259-1","https://www.indeed.co.in/cmp/Flipkart.com/reviews","awesome place to work in warehouse.also gets lots of knowledge about product & handling, if there is workload at that time full management help to complete the workload but with joy without giving any stress like other company ...","",""
