web-scraper-order,web-scraper-start-url,Reviews,Pagination,Pagination-href
"1530528320-709","https://www.indeed.co.in/cmp/Paytm/reviews","i suffered a lot being roaming on roads to complete daily targets.suffered by many health issues.learned how to be pleased by the customers.some times it took very long time to have my dinner.","3","https://www.indeed.co.in/cmp/Paytm/reviews?start=40"
"1530527487-652","https://www.indeed.co.in/cmp/Paytm/reviews","they don't fallow any rules every day they implementing a new plan to work in the market field for this reason customers are also get irritate from the employees of the company","5","https://www.indeed.co.in/cmp/Paytm/reviews?start=80"
"1530527402-619","https://www.indeed.co.in/cmp/Paytm/reviews","Good for earning money. Give an awareness to everyone that Paytm Payment Bank is useful to all. Make the whole world caseless society. Less works and more salary is good. Thank you","",""
"1530528326-732","https://www.indeed.co.in/cmp/Paytm/reviews","Used to educate customers about PAYTM application and eKYC and its benefits
Used to generate leads for the eKYC process
Used to generate revenue from the clients for PAYTM
Used to train or educate merchants about merchandising in PAYTM
Used to lead the clients to upgrade their accounts with PAYTM by increasing their businesses
Used to submit the COB report EOD
Used to handle team on revenue generation","2","https://www.indeed.co.in/cmp/Paytm/reviews?start=20"
"1530527557-657","https://www.indeed.co.in/cmp/Paytm/reviews","Lot to Learn, Team was good & Supportive & I have Learn't a Lot handling different Panels, Shift was Quite Good & Came to Know Technology went To far, They groomed me Very well about how to Provide Customer service & What it Mean's to Provide customer resolution On Given Time , Our REPLY was more Human Touch ,So customer Feels that they are not Talking to automated Reply. Resolution Should be Provided Within Resolution time .","7","https://www.indeed.co.in/cmp/Paytm/reviews?start=120"
"1530527557-662","https://www.indeed.co.in/cmp/Paytm/reviews","1.working environment is good
2.coworkers are very cooperative
3.there are many things to learn
4.sometimes work load increases
5. management is very good","7","https://www.indeed.co.in/cmp/Paytm/reviews?start=120"
"1530527487-645","https://www.indeed.co.in/cmp/Paytm/reviews","I m very tired from this job because some issue cannot be resolved like App not working properly or any other so many issues like no network coverage so many problems in technical work so i can leave","5","https://www.indeed.co.in/cmp/Paytm/reviews?start=80"
"1530527487-651","https://www.indeed.co.in/cmp/Paytm/reviews","Paytm has given an opportunity to learn and implement new ideas at work which has brought about immense positive change in lives of millions of Indians. It has an awesome pool of talent and some of the best resources in the industry work which is a privilege to work and learn from them.","5","https://www.indeed.co.in/cmp/Paytm/reviews?start=80"
"1530527557-658","https://www.indeed.co.in/cmp/Paytm/reviews","As Freelancer In paytm they have provide me opportunity to interact
with Different Client and to start my own on-line work","7","https://www.indeed.co.in/cmp/Paytm/reviews?start=120"
"1530527557-654","https://www.indeed.co.in/cmp/Paytm/reviews","Great place to work
Lot of learning
Initiatives are encouraged
Subordinates are empowered
A lot of employee engagement activities
Timely feedbacks are given","7","https://www.indeed.co.in/cmp/Paytm/reviews?start=120"
"1530527402-617","https://www.indeed.co.in/cmp/Paytm/reviews","maintain student desiplaine and dress code ,than lab using component and maintain the lab than follow service lab than attanance percentage follow fine list","",""
"1530528320-692","https://www.indeed.co.in/cmp/Paytm/reviews","i am working in paytm as a sales executive  i learned negotiation skills and convince skills from my company in this job hardest part direct customer and KYC it is very typical job i will leave this company why because this is a off role job and there is no growth","3","https://www.indeed.co.in/cmp/Paytm/reviews?start=40"
