web-scraper-order,web-scraper-start-url,Reviews,Pagination,Pagination-href
"1530586957-1392","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","As my name, age and mobile number and personal details do not displayed by indeed.
I will be happy by doing this job so that I can learn from my seniors much better and can get much experience in this field.","20","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=380"
"1530587429-1640","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","Nice to work in state bank of india
Learned  a lot while working as audit assistant in inspection department
Toured extensively
Met different people with wide knowledge 
Interacting with the customers makes me happy","4","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=60"
"1530587429-1633","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","Competitive and fast paced environment. Typical day at work usually goes by addressing customer concerns by interacting with them. Giving them insights on how to better theyre credit score and plan for their future financially.","4","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=60"
"1530586669-1273","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","At the bank it is a typical 10 to 5 job. I was able to manage both work and home. I used to come across all sorts of customer and was able to manage handling them pretty well. I got exposure to handling all kinds of adhoc requests from customers. I had excellent co worker support. The most enjoyable part of the job is seeing  a satisfied customer walking out of the branch with a smile on their face.","13","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=240"
"1530586617-1250","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","I will try my best to achieve the goals given by company.And increase profitability of company with volume of business.  Keep cordial relation WITH STAFF","9","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=160"
"1530587188-1475","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","My association with State Bank of India was very long and I worked in the Bank in all the areas of banking and gained lot of experience with best possible support from the management.","15","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=280"
"1530586669-1277","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","No. 1 in Public Sector Banks and I have gained Excellent experience while working at various seats in different capabilities.","13","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=240"
"1530586915-1384","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","A growing organization and a very good place to work for. You get to learn a lot and should join if you are passionate about chemistry. I learned a lot in this organization.","22","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=420"
"1530586719-1293","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","I used to mix up with my staff as a friend and take work. it could never be felt by my staff that I am their senior. I used to take challenges and accepeted in a positive manner.","17","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=320"
"1530587318-1545","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","Created bank reconciliation and cash flow forecasting models, maintained Balance Sheet Accounts reconciliation.  Completed cash management duties which included payroll funding for 800 employees, bank account sweeps for cash concentration and short-term investment, account analysis, cash position, forecasting, and reporting.  Responsible for Accounts Payable 15 million (INR), Payroll 7 million (INR).  Reviewed and analyzed bank fees and maintained bank account documentation.  Administered year-end audit of benefit plans, including preparation and analysis of financial schedules required by auditors","11","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=200"
"1530586669-1261","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","I learned about various facets of Banking and Finance while working in the Bank. Co-workers are helpful and cooperative.A typical day in the Bank from 9.30 AM to 7.30 PM keeps one awfully busy.Management is good. Hardest part of the job is to overcome resistance to changes from employees. The most enjoyable part is helping public to transact their business.","13","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=240"
"1530587255-1496","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","An overall good experience while working in SBI. A highly progressive organisation that has brought banking in India to another level.","14","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=260"
"1530587493-1682","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","SBI is now a behemoth which is line with top global Banks. This indeed is matter of pride, however what SBI lacks is proper structure esp. HR. There is no HR here, some stupid person with no background in HR or Employee engagement will sitting and troubling people. So, if the  best practices of HR are put in place then this place is best to be Secondly, many people here have worked their life here and hence do not have proper exposure as in private banks and hence they think only in the SBI terms which is quite detrimental. Working in various organizations makes a person more mature and confident. Though some of the officials (Mid & Senior level) are really smart and top class, the majority lack the finish. Thirdly, a BIG FAT EGO, yes it is still run like British slavery, where the top management doesn't heed to the plight of its staff nor the ground reality and never listens, every boss here thinks he is big person. If there could a colleague rapport building training wherein each colleague respects the other colleague and cordially get the work done, then this place would be heaven. Fourthly, TRANSEFRS, yes I have seen most deserving people not taking promotions because they may have to shift eventually destabilizing their family life. Many husband wives working bank are staying in two different places, some have quit because of this too. FAMILY MATTERS and yes lastly LONG WORKING HOURS this is very annoying as the young generation as well some mid level people value work life balance and the Bank should heed to this if it wants its talent to stay. Now, the postive ones are","2","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=20"
"1530586861-1365","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","I worked as Credit Analyst in Corporate Banking division in State Bank of India (SBI) . My key responsibilities includes:
Mapping of loan proposals on a SWOT analysis grid to ascertain the underlying viability.
Analysis of financial/ operational strengths & weaknesses by analyzing financial, business, management and industry risks.
Assigning internal ratings & assessment of credit worthiness of the corporates.
Credit appraisal of corporates for working capital, term loans & other structured products.
Preparing & presentation of proposals to Management Committees for sanction/ approval.

SBI is the largest bank of India and is listed in BSE, NSE and LSE.
I worked there around 9 hours per day. I learned financial appraisal skill in order to determine the credit worthiness of the borrower company.

I used to work with Chartered Accountants and Management Trainees and it was great fun working with them.

The most enjoyable part of my job was that every time I used to appraise new company and industry which made my job challenging and interesting.","23","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=440"
"1530587378-1608","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","this company has a good salary and emoluments but the hr policy for training and posting as well as transfers is faulty and need to be reconsidered and need to be more employee friendly.","7","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=120"
"1530586915-1376","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","Its computer agency working for bank clearing and outstation cheques.

Management is good and co-workers also good.","22","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=420"
"1530586957-1409","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","typical work was survey which had don by me.
i learned how to work in an organisation, how to manage the timing.
management should be in a proper way beacuse its define organisation panchuality.i help my co-workers and working with them.","20","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=380"
"1530587429-1647","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","I always  implemented positive thoughts. 
Made scine changed from worst to excellent. 
Motivated Employees to render positive service and
Upgrade them","4","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=60"
"1530587150-1456","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","Corporate Accounts Group at State BAnk of India handles credit for big corporate clients. This gives immense exposure with regards to complexities involved in credit analysis field.","16","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=300"
"1530586824-1337","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","I have assinged in different portofolios in Banking sector and retired on 31st January 2013 from State Bank of India, Vivekananda Marg Branch Bhubaneswar as Brnch Manager. I have worked as per Banks needs as Branch Manager both branch managment and Banking Business.","24","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=460"
"1530587150-1461","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","During performance reviews, use clear, nonjudgmental language that focuses on results and behavior. Notice the positive and negative aspects of these statements:","16","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=300"
"1530587029-1412","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","One of the Better Institutions when it comes to Banking. However No special knowledge of Finance is required","19","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=360"
"1530586669-1269","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","State Bank of India is a premier Lending Institution and India's largest public sector bank. It was my privilege that I have worked in sbi. I enjoyed working in sbi. work culture was excellent. Entire period of my job was enjoyable.","13","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=240"
"1530586824-1338","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","I worked in branches, administrative offices, at head office in General Manager (Operation) Secretariat department. Worked almost in all the area as a clerk, cashier, teller, advance clerk, accountant, credit officer, complaint redress officer, branch manager, joint custodian, system administrator. Have worked in direct-indirect service to public in general. With fellow colleagues and executives as well. I enjoyed whatever work i was entrusted with, my assignment as credit officer and complaint redress officer i enjoyed the most.","24","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=460"
"1530586957-1403","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","I am proud to say that I retired from State Bank of India a premier bank in India and largest banking sector in the world in size and work force, I have gained knowledge in banking industry. Learnt to handle the customers and staff. I have worked in various branches in Karnataka including rural, semi-urban and urban branches and handled customers from various sectors. Every day I used to keep myself busy with the work and enjoyed the job. The most enjoyable part of the job being with staff and officials of all cadre. Used to hold cultural activities on holidays.","20","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=380"
"1530586824-1347","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","Worked at different places and at various branches at different levels of working whether its now or while working in defence the only major difference is of discipline and work culture,Co-workers had been very cooperative at times I had been a very teacher for them . I had worked as a mediator between upper and lower management levels.","24","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=460"
"1530586669-1272","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews","atmosphere of this company was good but according to work load salary was not satisfactory.Tean leader was very coperative n he was always ready to help me in all the way.","13","https://www.indeed.co.in/cmp/State-Bank-of-India/reviews?start=240"
