web-scraper-order,web-scraper-start-url,Reviews,pagination,pagination-href
"1530537208-1355","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","It is great productive working
learned how to manage work pressure
my co-employees are cooperative
arranging material when major concrete pour","8","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=140"
"1530537203-1313","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","1)Material delivery coordination.
2)Coordinating field operations and sub-contractor work.
3)Monitors work activities to ensure compliance with established policies and procedures.
4)Technical writing for letters, RFI’s, submittal covers.
5)Review of shop drawings and plans.
6)Assist with pricing of change notices.
7)Daily Quantity and Man Hour Reporting.
8)Provide schedule update information to project engineer.
9)Ensure that work is correctly cost coded.
10)Ensure that field personnel have latest schedule.
11)Coordinate with Document Control to ensure that field personnel have latest drawings        and specification revisions.
12)Compile necessary information for all submittals and coordinate with Document Control to ensure proper documentation.
13)Update drawings with redlines of as-built information in support of Project Engineer or other.
14)submittal tracking, material delivery, pricing of change notices and contract document coordination.","11","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=200"
"1530537201-1286","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","Company is open to all and conducting more training programs to get better ideas.","12","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=220"
"1530537211-1362","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","Work place environment is excellent. 
Most facilitating factor - Liberty to work and decide from seniors.
Provide e-learning courses to update the knowledge & skill.","7","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=120"
"1530537221-1435","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","shapoorji is good platform For learning and showing your capabilities
company help to provide all type of resource which you need to achieve   your task.","3","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=40"
"1530537206-1338","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","I learned a lot, have a good organization structure, good co-workers","10","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=180"
"1530537196-1271","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","Daily routine comprises of taking onsite team meeting for daily and upcoming targets, monitoring the targets given on site and achieving them, daily cost per unit analysis of all labor contractors and working out ways to improve the same, coordination with client – understanding their requirements and striving to achieve the same, etc.","9","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=160"
"1530537203-1315","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","Good For Freshers perticularly as there's lot to learn.

Hands on Experience for various Constuction and Earth moving Equipments.

Good Technical as well as Non technical learning.

Hardest part is long working hours.

The most enjoyable part is to have work in where good combination of co-worker from different cultures.","11","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=200"
"1530537206-1325","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","A good firm to work in for a construction manager aspirant.
A lot to learn, which great technology on offer. No scope for design however, hence I am looking for a consultancy.","10","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=180"
"1530537206-1324","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","manage the resources
learn leadership, self starter
learn how to overcome from critical stage
good co-workers","10","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=180"
"1530537213-1381","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","i am in SPCMG its an interior group,fun work place and supporting staff, have learned mgmgt skills, long working hours,","6","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=100"
"1530537211-1367","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","* Every day is a new learning day. 
* Being independent and how to make and take decision  when required.
* Amazing Management and good co worker... very helpful and mentors..
* As of now not faced any hard part in the job as my Boss was always there to guide and support. 
*Being at work and working as with each department as a team.","7","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=120"
"1530537193-1247","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","nice company with some great people to work with , totally great experience working in this company ,learnt alot from my seniors. a very professional and skilled workers .","5","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=80"
"1530537191-1227","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","*No work life balance.

*Learning is okay but job is monotonous

*One has to hang out with older staff and the younger generation has absolutely no social life.","",""
"1530537203-1302","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","- work experience for expose RCC work & speedy work with huge team around 250 nos staff members in TATA Nano project.
- I learn Documentation, quality controlling, mass concrete work & also learn about maximum utilization of material
- Construction of 5000 tonne & 1000 tonne Press pit is hardest part of my job.
- We all work as Team.","11","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=200"
"1530537206-1320","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","At starting every body bully you but after some time they all became friend,its a fun loving environment with good management,more and more appreciation, i have learned alot from this company..there are many more this ....etc...","10","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=180"
"1530537217-1414","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","Great opportunity wt am doing and ,i can survive anywhere any field .

I got a good expose in MEP division also the electrical temporary and Permanent with maintenance .","4","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=60"
"1530537191-1232","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","SPCL has given me the opportunity to learn the varied sectors of construction as part of my training and it has highly benefited me for my future. All the staffs are well experienced and knowledgeable in their respective field of works.","",""
"1530537193-1235","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews","Good work culture, Employee Friendly, Supportive staff, Job security is more, Expert team to work with, Excellent environment for continual growth. Overall good company.","5","https://www.indeed.co.in/cmp/Shapoorji-Pallonji/reviews?start=80"
