web-scraper-order,web-scraper-start-url,Reviews,Pagination,Pagination-href
"1530276665-24","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Work work and more work
Lots of learning included
Too much of process oriented
No interdepartmental interaction other than work
Long working hours and working weekends too","2","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews?start=20"
"1530276663-18","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","The best television company with a great work culture and amazing people. It has a monopoly of sorts in the industry and is the segment leader for some of its channels.","",""
"1530276665-29","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","the typical day was when i received 8 cars in one day & i have to deliver those cars at same day  with 6 technision & i learned how to manage customers,technision,my co workers & also cars .most enjoyable part of this job was, that i learn different problem on different cars & i solve those problems every day & it was really challenging for me.","2","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews?start=20"
"1530276663-13","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Its the No 1 Media company with good work culture, while at the same time the management seems to be poorly making decisions. If 
 
I cam summarise it ""20% people are driving the work load for rest 80% Employees""","",""
"1530276665-26","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Work culture and happy with the job profile,dont know the future.After DAS heard company may reduce manpower or down size the people.","2","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews?start=20"
"1530276663-9","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Work place culture, The most enjoyable part of the job every project is challenging.
Resourceful leader with broad marketing in (Corporate communications department) experience, encompassing strategic planning, Media planning and Buying, qualitative & quantitative research, interactive marketing, creative development, media planning, direct-marketing, public relations, sales promotion and visual merchandising, with the ability and skill set to provide creative, innovative, enthusiastic and forward-thinking leadership in a team environment. Focused on achieving continuous, improved business performance.","",""
"1530276663-11","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","People here are Nice, Work culture is fun. Workplace is good too. Positive and friendly atmosphere to work with. Cooperative, take up all the challenges as a team.","",""
"1530276665-27","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Star India is a very good place to work , with a very comfortable environment and flexible office hours and good people to work with. Very friendly people and excellent office. it is one of the best media company in the industry to work with. The management is very good and always helpful.","2","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews?start=20"
"1530276665-30","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","A very good company to work with
good team management.
Aggressive in business.
Learned to think out of the box.. continuous improvement..etc","2","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews?start=20"
"1530276665-25","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","I enjoyed working here. Though my first job was very comfortable with all my colleagues. Timings were flexible. My manager was very supportive and understanding.","2","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews?start=20"
"1530276663-12","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","It was Great to work there i was working as LFS in Bangalore and Bangalore Rural and it was day to day challengers work daily. i have done Lco s survey and Mapping and Recoding and ETC","",""
"1530276665-23","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Star TV was one of the best experiences of my career. It allowed me to grow and really understand Sales and the media industry from a 360 perspective.","2","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews?start=20"
"1530276663-2","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","I have learned so many thing in Star India pvt ltd.Every month end it was typical for me but its managable.management was also very supportive & the most important thing is that the work enviroment is very gud.","",""
"1530276663-10","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","You get to lead and manage a brand that reaches millions of viewers.
There is scope to learn and grow and the company does take individual strengths into account while deciding structure and roles.","",""
"1530276663-6","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Star is a good company to work for having good exposure and good infrastructure. This is a company were one can learn innovative things that can be done.","",""
"1530276663-20","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","good  company to work. got lot of  experience  people are very supportive. good  working atmosphere. manger  are good and  u can  learn lot  of things  from there.","",""
"1530276665-22","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","I had a wonderful tenure of 16+ years, Every day was like going on an Adventure trip, Being a Broadcaster Television company it has a wide variety of Jobs, ranging from Data Analysis to promoting system driven processes and implementing new protocols in the ever-changing Maker scenario. It is a Sales driven company and Marketing good product is the Key; to capture premium rates and engaging the audience longing for more promising satisfaction. Star TV has been a pioneer in setting up new business structures and deploying It based solution to enhance business evolutions.","2","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews?start=20"
"1530276663-5","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","This company is good but not best for growth beacuse some management staff not careful for our work  but his project are too good and some I am a award winner of this company","",""
"1530276665-28","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","managing key accounts/ optimizing max revenue from the business coming in/prospecting new business/","2","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews?start=20"
"1530276663-21","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Good to be a part of Broadcasting, and its better to be in Star and its best with Work culture in Star. Completely fun and learning environment. No such work pressure to get the things done. When you are in star you actually feels like a star.","",""
"1530276663-4","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Duty hours 9am to 6pm mon- fri. Learned to work in pressure situations. Management was supportive. Workplace culture was nice. Worked with different types of people","",""
"1530276663-8","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","One of the best companies in the Media Industry to work for in India. It offers a lot to learn with a wide range of resources at your disposal. Definitely a goto place.","",""
"1530276663-14","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","The company takes care of  its employees. Colleagues are very warm & helpful . Very competitive and positive  environment at work.Seniors in the organisation are very supportive.
My experience with Star has ween wonderful. I managed to close deals  few months after joining and was appreciated at the same time .","",""
"1530276663-7","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","The Most Difficult Part of the Job is it does not allow any extra personal space because of everyday long working hours and weekends work from home...","",""
"1530276663-3","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Coordinated with sales team and ensured achievement on monthly and annual sales goals.
 Administered and maintained Relationship at various Industries levels. 
Prepared proposals and provided daily reports accurately. 
Monitored and tracked all sales and promotional programs for sales team. 
Efficient administrative ability proven by keeping subordinate staff in control getting the best work done.","",""
"1530276663-16","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Hotstar gives lots of responsibility, runs too fast, but again trust their employees to make best decisions in their role.
Employee is on his own if he wants to implement something new.","",""
"1530276663-15","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Star India is a great platform to be on. Apart from being one of the biggest media conglomerates in the country, the experience that one gains is great. It is one of the best places to learn the workings of the Media Industry. The environment is star is very dynamic, it requires one to be highly adaptive as the company keeps gearing up to take up the new changes/challenges in the extremely volatile Media Industry. Every day is a new learning and every new learning is an opportunity to grow in Star.","",""
"1530276663-19","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Star India is a fun place to work with and provides access to the key players but only if you work in smaller teams. The larger the team the more complacent working here makes you","",""
"1530276663-17","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","Fantastic organisation to work. work culture is good. work hour is 9:30 to 6 and five days a week. one of the best media to work. star management provide Lots of learning and and also give session for skill improvement.","",""
"1530276663-1","https://www.indeed.co.in/cmp/Star-India-Pvt-Ltd/reviews","I had a wonderful tenure of 16+ years, Every day was like going on an Adventure trip, Being a Broadcaster Television company it has a wide variety of Jobs, ranging from Data Analysis to promoting system driven processes and implementing new protocols in the ever-changing Maker scenario. It is a Sales driven company and Marketing good product is the Key; to capture premium rates and engaging the audience longing for more promising satisfaction. Star TV has been a pioneer in setting up new business structures and deploying It based solution to enhance business evolutions.","",""
