web-scraper-order,web-scraper-start-url,Reviews,Pagination,Pagination-href
"1530512281-115","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Good Work culture
Friendly work environment
Flexible shift
Good Appraisal
Gym area is also available for all employees
Large sport area with indoor and outdoor","",""
"1530513557-550","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Good place to work and learn. We can explore more technologies within work place..And more friendly manner...Spot recognization will be there in all the activities","85","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=1680"
"1530513497-540","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","The people and environment of the organisation is very good and I learned many things there like SAS programming Putty commanding language and Basic SQL queries.","81","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=1600"
"1530512407-169","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Stability in job and very good employee culture. Increments are low but stability and consistency counteracts that. Preference is given to employee with experience.","9","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=160"
"1530512772-296","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","A highly competitive and peaceful environment to work in with all good benefits at work. Chances of cross technology learning benefits. Flexible work nature.","33","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=640"
"1530513618-580","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Good Company and good people to work with. They help you and support you overcome bottle necks and hindrances in your working conditions and deliverables.","89","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=1760"
"1530513376-497","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","As TCS is MNC, I asked to develop a product which was used by millions of people. That experience was amazing. I had developed some complex application and encountered critical issues. Overall its roller coaster ride that you are afraid in the beginning to take and at the end, you are happy that you took it. This helped me for my overall growth. Growth as developer as professional as person as team member.","73","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=1440"
"1530513376-502","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Very good place to work, I have been working for the last 10 years. 
We have lot of scope to learn new things and work culture is good. 
Even though there were some managerial issues overall it is good,.","73","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=1440"
"1530513315-467","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Work friendly environment.Gave me a wonderful opportunity  to explore myself.Learnt many new technologies.Very productive,encouraging,challenging and friendly environment to work with.","69","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=1360"
"1530513315-471","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","The pace of work is relaxed.
Allows for healthy discussions.
good management.
good team work.
good associates.
good exposure to new tools and technologies.","69","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=1360"
"1530512529-212","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","One of best company I worked with. 

Values employee concerns and gives them opportunity to grow.

Awesome healthcare benefits.

Poor Appraisal process","17","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=320"
"1530512953-356","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Overall TCS is a good company,but it all depends of the project you are tagged to. My project was not one of the best ones. The best thing about the company is it's health insurance policy.","45","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=880"
"1530513013-376","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","TCS is nice place to start start your career. The company can manage the freshers very well. The company lacks in professional work culture but it is improving day by day.
Salary is good. Also annual increment and promotional activity is good.","49","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=960"
"1530512651-241","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Really a job for someone who is self-driven and desires to be successful. It is easy to maintain a work-life balance while working at Tata Consultancy Services.","25","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=480"
"1530512893-327","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","It was really a very good experience working with Tata Consultancy Services. I learned many new technologies while working on different projects during my job tenure.","41","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=800"
"1530512347-134","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Good place to work, job security is always there with great peers and role models at all levels. Great campus to work in. Great Learning curve with updated technology.","5","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=80"
"1530512711-260","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Good company and comes with a trusted brand of TATA, good for beginners

Good for overall development, service based companmy and a lot of diverse positions to choose","29","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=560"
"1530512832-300","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","If you are technically good, you can be assured of being in the company for life. Good work-life balance. Climbing the career ladder is more about lobbying and buttering with management to certain extend. Company and people lack professionalism","37","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=720"
"1530513678-610","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Good company to learn .
Communication skill can be improved
Learn to deal with customers
Learn about technologies
Worklife balance culture
Good amenities","93","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=1840"
"1530512281-108","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","It is not a bad place to work rather if you are looking for job stability and decent salary and benefits then you will not be disappointed. It also provides you travel opportunities and training options.","",""
"1530513557-558","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Good team environment.Technology growing and adaptabilty to the technology is more. Employee friendly. Work pressure is more when deadline is there. Nice place to work in.","85","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=1680"
"1530512651-250","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","My experience in Tata Consultancy Services Ltd. is overall good. Processes established here are really good. And work life balance can be done here, depending on the projects you are in. Certainity of job is here.","25","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=480"
"1530512590-215","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","Very good experience while working with TCS.

Overall received sufficient exposure in the current field of expertise and was able to interact and bond well with fellow colleagues and with supervisors.

The work environment is pleasant though stress level was a bit more in certain months due to urgent deliverables.

Human resources and the management is employee friendly.","21","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=400"
"1530512407-159","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","TCS provides a great healthy environment to start your IT career as it gives minimum pressure to fetch the maximum output from every employee givig you a chance to express yourself.","9","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=160"
"1530512953-348","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews","There was a customer who was consistently follow up the invoice team to change the address and billing details in the invoice so then only they can make the payment but no action was taken so far and the customer was quite irritated. I took up the  charge to personally meet the invoice team and made the changes then and there and finally send the new invoice issued as per the customer's preference which finally helped the organization to receive the payment timely.","45","https://www.indeed.co.in/cmp/Tata-Consultancy-Services-(tcs)/reviews?start=880"
