"","x"
"1","good"
"2","grow"
"3","luck"
"4","opportunity"
"5","salary"
"6","try"
"7","development"
"8","employee"
"9","environment"
"10","focus"
"11","poor"
"12","work"
"13","eco"
"14","friendly"
"15","friendlyclean"
"16","helpful"
"17","alignment"
"18","control"
"19","discipline"
"20","reservation"
"21","sector"
"22","small"
"23","speed"
"24","unnecessary"
"25","flexible"
"26","hours"
"27","leaves"
"28","sufficient"
"29","people"
"30","pressure"
"31","campus"
"32","home"
"33","policy"
"34","balance"
"35","life"
"36","nice"
"37","anything"
"38","system"
"39","whole"
"40","activation"
"41","company"
"42","department"
"43","jio"
"44","thetelecom"
"45","great"
"46","motivation"
"47","sharpen"
"48","skills"
"49","can"
"50","cons"
"51","nothing"
"52","think"
"53","best"
"54","knowledge"
"55","learn"
"56","new"
"57","skill"
"58","something"
"59","though"
"60","well"
"61","will"
"62","aggressive"
"63","culture"
"64","freindly"
"65","get"
"66","leadership"
"67","manny"
"68","things"
"69","telecom"
"70","enough"
"71","provided"
"72","job"
"73","low"
"74","security"
"75","hierarchy"
"76","processes"
"77","rigid"
"78","set"
"79","free"
"80","time"
"81","learning"
"82","platform"
"83","growth"
"84","market"
"85","per"
"86","rate"
"87","fast"
"88","growing"
"89","organization"
"90","brand"
"91","portfolio"
"92","reflect"
"93","infra"
"94","policies"
"95","insecurity"
"96","lot"
"97","politics"
"98","regional"
"99","team"
"100","employees"
"101","last"
"102","levels"
"103","since"
"104","yrs"
"105","engagement"
"106","missing"
"107","part"
"108","location"
"109","less"
"110","stress"
"111","facilities"
"112","services"
"113","atmosphere"
"114","proffesional"
"115","safety"
"116","vision"
"117","appraisal"
"118","completely"
"119","even"
"120","paid"
"121","pay"
"122","variable"
"123","lack"
"124","opportunities"
"125","individual"
"126","slow"
"127","oriented"
"128","process"
"129","really"
"130","juniors"
"131","much"
"132","political"
"133","check"
"134","health"
"135","language"
"136","monitoring"
"137","associate"
"138","customer"
"139","issues"
"140","resolve"
"141","downsides"
"142","infocomm"
"143","explore"
"144","seniors"
"145","negative"
"146","comes"
"147","indias"
"148","network"
"149","offer"
"150","lots"
"151","allowances"
"152","appreciation"
"153","favouritism"
"154","financial"
"155","promotions"
"156","shifts"
"157","working"
"158","timing"
"159","technologies"
"160","compared"
"161","compensation"
"162","experience"
"163","buffet"
"164","communication"
"165","country"
"166","every"
"167","india"
"168","needs"
"169","says"
"170","youth"
"171","always"
"172","come"
"173","resolved"
"174","side"
"175","biggest"
"176","providing"
"177","service"
"178","right"
"179","benefits"
"180","compensations"
"181","horrible"
"182","attitude"
"183","belong"
"184","business"
"185","field"
"186","first"
"187","matter"
"188","priority"
"189","holidays"
"190","overtime"
"191","without"
"192","dont"
"193","freshers"
"194","give"
"195","hell"
"196","training"
"197","type"
"198","defined"
"199","properly"
"200","roles"
"201","create"
"202","dealers"
"203","developed"
"204","face"
"205","motivate"
"206","relationship"
"207","decision"
"208","loosing"
"209","making"
"210","planning"
"211","cultural"
"212","emotional"
"213","employe"
"214","make"
"215","organisation"
"216","supportive"
"217","touch"
"218","answer"
"219","day"
"220","leave"
"221","one"
"222","pros"
"223","question"
"224","tough"
"225","want"
"226","management"
"227","increment"
"228","negligible"
"229","loyal"
"230","salaries"
"231","days"
"232","related"
"233","almost"
"234","average"
"235","corner"
"236","industry"
"237","old"
"238","performers"
"239","possible"
"240","reliance"
"241","relocation"
"242","timers"
"243","wide"
"244","within"
"245","administrative"
"246","based"
"247","family"
"248","full"
"249","meritocracy"
"250","minimal"
"251","mumbai"
"252","office"
"253","performance"
"254","review"
"255","run"
"256","therefore"
"257","better"
"258","chance"
"259","huge"
"260","scale"
"261","scope"
"262","awesome"
"263","excellent"
