"","X","Reviews","Polarity"
"1",1,"Good salary and good opportunity to grow try your luck.",1
"2",2,"Poor work environment and no focus on development of the employee.",-1
"3",3,"Friendly environment, helpful, eco friendly,clean,",1
"4",4,"Speed, alignment, discipline, reservation for the small sector, unnecessary control",-1
"5",5,"Flexible hours, and leaves are sufficient",1
"6",6,"No pressure on people",1
"7",7,"Good Campus",1
"8",8,"No work from home policy",-1
"9",9,"Good work life balance . Nice work",1
"10",10,"You�ve to go through the whole system to do anything",-1
"11",11,"activation department jio is a very nice company in thetelecom sector",1
"12",13,"great work n life balance",1
"13",14,"motivation to sharpen skills",1
"14",15,"Nothing i can think of cons",1
"15",16,"i think i can grow do my best though my skill and knowledge. as well as i will learn something new .",1
"16",18,"Get to learn Manny things. Aggressive leadership with people freindly culture.",1
"17",19,"Best in telecom sector,",1
"18",20,"Provided salary not enough",-1
"19",21,"Low work pressure, job security",1
"20",22,"No set processes, rigid hierarchy,",-1
"21",23,"Free time because no work is there",-1
"22",25,"Best platform for learning new work.",1
"23",26,"Growth rate is not as per market.",-1
"24",27,"Jio is very fast growing organization",1
"25",28,"Good Brand to reflect on your portfolio.",1
"26",29,"Good infra/ Policies and processes are centralized and employee friendly.",1
"27",30,"The regional team plays a lot of politics out of insecurity.",-1
"28",31,"No growth, employees are in the same levels since last 5/6 yrs and more.",-1
"29",33,"Engagement part is missing",-1
"30",34,"Location is good",1
"31",35,"Job security",1
"32",36,"Less stress",1
"33",37,"Facilities services",1
"34",38,"No work",-1
"35",39,"No Proffesional atmosphere",-1
"36",40,"No growth",-1
"37",41,"Politics",-1
"38",42,"Work Culture good",1
"39",43,"�Job safety",1
"40",44,"Work Life Balance",1
"41",45,"Company with a great vision",1
"42",46,"�Fast growing organization",1
"43",47,"Poor appraisal in spite of profits to the company",-1
"44",48,"Even the variable pay is not paid completely",-1
"45",49," Lack of learning opportunities",-1
"46",50,"Individual growth is very slow",-1
"47",51," Not process oriented",-1
"48",52,"Campus is really great and shuttle services",1
"49",53,"People are too much political even with their juniors",-1
"50",55,"Monitoring & health check to system with linux language",1
"51",56,"Analyse customer CDR to check associate issues and resolve it.",1
"52",57,"No downsides at jio infocomm",1
"53",58,"Can explore lot of things from seniors",1
"54",59,"no negative as all employees are very friendly",1
"55",60,"The company has a lot to offer when it comes to learning. Opportunity to work on�India's widest network. ",1
"56",61,"Good campus and lots of extra-curricular facilities.",1
"57",62,"No appreciation, no allowances to employees working in shifts, favouritism when it comes to promotions, very less financial growth, employee strengths are underutilised",-1
"58",63,"Flexible timing",1
"59",64,"good opportunities for learning new technologies",1
"60",65,"Compensation is low compared to experience",-1
"61",66,"It's the best growing company, in India where even warren buffet says that every country needs a jio communication network to get youth scintillation",1
"62",67,"Some issues come but always have been resolved in system and no cones from my side",1
"63",68,"It is the best and biggest company",1
"64",69,"It is the biggest service providing to all",1
"65",70,"Salary Right on time.",1
"66",71,"Compensations & benefits.",1
"67",72,"Good Working Environment.",1
"68",73,"Horrible work life balance.",-1
"69",74,"Lot of pressure as business first is the attitude no matter which field you belong to",-1
"70",75,"Nothing much to learn and explore.",-1
"71",76,"Priority of an individual life is last",-1
"72",77,"No holidays, even on holidays you have to work without overtime.",-1
"73",78,"Hell For Freshers and they don't give any type of training.",-1
"74",79,"Job roles are not defined properly.",-1
"75",80,"Developed best relationship with dealers. Motivate the team & create a good work face.....",1
"76",81,"Loosing the confidence,Thinking negatively. Do work with out planning & decision making....",-1
"77",82,"To make a supportive cultural so that employe can make an emotional touch with the organisation....",1
"78",83,"Tough to answer this question. No pros. Best employee dont want to work for them and will leave one day.",-1
"79",84,"Tyrant Management.",-1
"80",85,"No work appreciation.",-1
"81",86,"Negligible Increment.",-1
"82",87,"Not so loyal employee.",-1
"83",88,"No Culture.",-1
"84",89,"Low salaries.",-1
"85",91,"6 days working, Salary is less related to other",-1
"86",92,"Wide experience, growing industry, job guarantee for average performers and old timers. Relocation to almost any location within India possible as there is some Reliance business in every nook and corner of India.",1
"87",93,"Growth is minimal. Not meritocracy based. Family run business , therefore performance review is only an administrative process. Once you are out of HQ office in Mumbai, working is 6 days , full days.Trainings are minimal.",-1
"88",94,"better chance to explore IT skill",1
"89",96,"Good salary",1
"90",97,"New technologies based learning",1
"91",98,"Scale and scope of work his huge",1
"92",99,"Infrastructure is awesome with excellent sports facilities",1
"93",100,"Culture need to improve",-1
"94",101,"Yearly appraisals",1
"95",102,"Not a process driven company , it�s people driven company",-1
"96",103,"Work is very adhoc",-1
"97",104,"They offer job but u won't continue for long time",-1
"98",105,"Everything.. jcm msl CSL,, all are one and make huge money by making dumy retailer wallet ... Don't credit exact incentives for retailers�",-1
"99",106,"Best to work as a Fresher and Experience",1
"100",107,"No Such Cons for Jio",1
"101",108,"Work culture,growth,time management,helpfulness from the senior",1
"102",110,"very bad management, salaries are very less for freshers. no proper training, working hour may extend up to 12 hours. management thinks that employees are their slaves",-1
"103",111,"only a company with big name",-1
"104",112,"Beautiful ambiance, facilities, gym, internal shuttles",1
"105",113,"less growth, poor HR Service, No hierarchy",-1
"106",114,"good fecility , canteen , campas",1
"107",115,"work load is more , no work life balance , bad management",-1
"108",116,"Good place to start your career",1
"109",117,"Didn't find any cons till now",1
