Reviews,Polarity
Good salary and good opportunity to grow try your luck.,1
Poor work environment and no focus on development of the employee.,-2
"Friendly environment, helpful, eco friendly,clean,",2
"Speed, alignment, discipline, reservation for the small sector, unnecessary control",-1
"Flexible hours, and leaves are sufficient",1
No pressure on people,1
Good Campus,1
No work from home policy,-1
Good work life balance . Nice work,2
You�ve to go through the whole system to do anything,-1
activation department jio is a very nice company in thetelecom sector,1
great work n life balance,2
motivation to sharpen skills,1
Nothing i can think of cons,2
i think i can grow do my best though my skill and knowledge. as well as i will learn something new .,1
Get to learn Manny things. Aggressive leadership with people freindly culture.,1
"Best in telecom sector,",2
Provided salary not enough,-1
"Low work pressure, job security",1
"No set processes, rigid hierarchy,",-2
Free time because no work is there,-1
Best platform for learning new work.,1
Growth rate is not as per market.,-1
Jio is very fast growing organization,1
Good Brand to reflect on your portfolio.,1
Good infra/ Policies and processes are centralized and employee friendly.,1
The regional team plays a lot of politics out of insecurity.,-1
"No growth, employees are in the same levels since last 5/6 yrs and more.",-1
Engagement part is missing,-1
Location is good,1
Job security,1
Less stress,1
Facilities services,1
No work,-1
No Proffesional atmosphere,-1
No growth,-2
Politics,-2
Work Culture good,2
�Job safety,1
Work Life Balance,2
Company with a great vision,2
�Fast growing organization,1
Poor appraisal in spite of profits to the company,-1
Even the variable pay is not paid completely,-1
 Lack of learning opportunities,-1
Individual growth is very slow,-1
 Not process oriented,-1
Campus is really great and shuttle services,1
People are too much political even with their juniors,-2
Monitoring & health check to system with linux language,1
Analyse customer CDR to check associate issues and resolve it.,1
No downsides at jio infocomm,2
Can explore lot of things from seniors,1
no negative as all employees are very friendly,2
The company has a lot to offer when it comes to learning. Opportunity to work on�India's widest network. ,1
Good campus and lots of extra-curricular facilities.,1
"No appreciation, no allowances to employees working in shifts, favouritism when it comes to promotions, very less financial growth, employee strengths are underutilised",-2
Flexible timing,1
good opportunities for learning new technologies,2
Compensation is low compared to experience,-1
